id,label,story,title,place,type,date,url
1,Haunted Places,"When I was 8 years old my Mom and Dad purchased a home located in Burlingame, California. They got a great deal on the house and were thrilled at its location, and the town. I recall the first time I entered the house I said to my Mom ""It is so dark in here."" My Mother reassured me that with a little paint and new drapes it would be bright and sunny. I think that the darkness I noticed wasn't just because of the dark walls and drapes, there was something much darker hidden in the seams of the house. This darkness didn't stay hidden for long. Before we moved our belongings into the home my Dad, and one of his friends, Dick, went to the house to refinish the hardwood floors. They were in for a challenging set of experiences. When they turned on the sander the radio would blast, when they turned off the radio the light would go on. Then the electricity would shut off. They checked the fuses, but none of them were burned out. My Dad called the power company, the man who came out said there was nothing wrong with the connection from the power pole to the house. He told my Dad that he needed to call an electrician. The electrician witnessed the strange and inexplicable relation between unrelated switches and the response from remote locations throughout the house. The electrician told my Dad that the entire house needed to be rewired. To their surprise after this announcement all the electrical appliances and lights worked as expected. All returned to normal operation at that time. This stunt repeated many times over the years. We just had to wait it out because there was nothing wrong with the fuses, fuse box, the connection to the power pole. There was no technical explanation. I will say that being in a totally dark house due to the actions of invisible intruders was quite terrifying. We were at their mercy, and they had little to no mercy. After we moved into the house we immediately noted that at times it sounded as if someone was walking across the floor, or there would be what sounded like knocking on various doors throughout the house. The back door would open and slam closed, which would be followed by what sounded like footsteps coming up the stairs. My parents explained to me that these sounds were the sounds of the house settling. Often when I went to bed at night I would hear heavy breathing right by my face. My parents told me this was what the water heater sounded like at night when it was heating the water. I would hear my Mother call, and when I answered she would say she did not call me, and visa versa. I often found long auburn hairs in my bedroom. I couldn't figure this out. I didn't know anyone with auburn hair. My parents became acquainted with the next door neighbors. They commented to Mom and Dad that they hoped that they lived there longer than other people that had moved in. The house had always been sold, never rented, but it was rare for any family to live there more than 3 months. The neighbors had lived next door for over 20 years. There were times when I woke up with someone holding on to my ankles and pulling me off the end of the bed. This terrified me. When I told my parents they assured me that I was only having a nightmare. I woke up in the mornings to find pieces clipped from my hair. This left short jagged pieces I couldn't style. My Mom told me this was from the pin curls I used. One afternoon I was in my bedroom and couldn't shake the feeling that someone was staring at me. This gave me the creeps, so I decided to go out to the living room. In that I felt so uneasy, I stepped down on the first step in front of the door and reached around the corner to turn off the light. When I turned off the light I saw a young woman sitting on the bed right next to where I had been sitting. She had long auburn hair. She was transparent. I didn't believe in ghosts. My parents had told me over and over again there was no such thing. Now I was faced with the terrifying reality of a ghost sitting on my bed. I ran to the front bathroom, slammed and locked the door. Then it dawned on me that if she was a ghost and what they say about ghosts was true she could walk through the wall and I would be locked inside with her. I unlocked the door and ran to the living room in the front of the house. In the morning I told my parents about my experience. They exchanged glances and then they told me that they knew that the house was haunted. The ghost I described to them is the one they called ""Florence."" It took them about 3 years to believe the house was haunted. They didn't believe it until they had exhausted themselves by sneaking through the house trying to find the intruders making all the noises, and never finding anything. Then one night when they had just gotten into bed, turned off the lights, and above the end of their bed were two floating heads staring at them. They both saw these apparitions, and could not deny what they saw. This put them on a trek of using an Ouija board to try to communicate with the ghosts. Knowing what I do now about the response to this board by earth bound spirits I am certain this practice only made things worse. There were many ghosts. I only saw two fully manifest apparitions, but my parents saw and experienced many more. I saw ""things"" but only 2 specific ones. It was a common experience to see items, such as books, fly across the room. One time my Mom was taking a nap on the couch in the living room. The couch seemed to be shaking. She opened her eyes to discover that the couch was being transported by floating across the room with her on top of it. One could explain doors opening and closing by themselves being due to not being latched properly and a breeze caused it to open and close. This explanation could not be applied to the sliding door between the 2nd and 3rd bedrooms. This sliding door often slammed open or closed. This was very unsettling. Quite a few times my parents came into my room in the middle of the night to see why I was screaming. I was not aware of screaming. As far as I knew I was sound asleep. They would describe the screaming as if I had ""seen bloody heads rolling across the floor."" There were times my parents acted out of character. They would be much harsher than one would expect. Shortly before my Mom passed away she told me that the change of life made her ""strange."" I asked her what she meant and she told me that one time she was chatting across the picket fence with our elderly neighbor. She said that it took all her strength to force herself to go back into our house without attacking and strangling the neighbor. I told her, ""Mom, that wasn't the change of life - it was the ghosts. The ghosts made them say and do things that were out of character. I could see ""it"" in their eyes and their mannerisms - that they were ""different"", not themselves. I experienced times when I was attacked, pushed, and man-handled by the ghosts. I told my parents, and they told me that I was letting my imagination run away with me. Their invalidation of my experiences made life very difficult for me as there was no where to turn for help. Family and friends that visited were often treated to a ghost experience from simple footsteps and door knocking to having their blankets pulled off of them in the middle of the night by unseen hands. One time my Aunt was at our house for my birthday party. It was too late for her to drive all the way home, but she didn't want to sleep in the house. She slept out in our travel trailer with my teenage slumber party. One time we were watching television when Hans Holzer and Sybil Leek were visiting San Francisco. They were ghost hunters. They announced that if anyone thought their house was haunted that they would be glad to come out and get rid of the ghosts. I begged my parents to call them. They didn't want to because they didn't want anyone in the area to know the house was haunted. They said that when they sold the house that such information would prevent them from getting a good price. I was so hopeful and then crestfallen. When my parents retired and put the house on the market the ghosts became especially active. We had occupied the house for 15 years, and I think the ghosts were pretty happy with the arrangement. He told my Mom that he wanted to move into the travel trailer so they didn't have to be concerned with constantly cleaning and preparing for the stream of realtors streaming through the house with potential buyers. Then one morning my Dad announced that he was lowering the price on the house by a considerable amount. We all tried to discourage him from doing so since they were counting on the profit from the sale to buy retirement property and perhaps build a home. He wouldn't listen to our arguments. The house sold that day. Mom and I were sitting in the kitchen while Dad walked the new owners out to their car. Mom and I heard the back door open and slam closed. We heard footsteps coming up the back steps. We got up together and looked down the hall to the stairway. We could still hear the footsteps ascending the stairs, but there was no one to be seen. After they moved all of their things out of the house, handed over the keys, and had left the property for good, Dad confided why he insisted on moving into the trailer and lowering the price on the house. The night before they moved out into the trailer my Dad was startled awake by a hand over his mouth and nose. He was being suffocated by the man ghost, who we had come to call Dave. Dad was a strong guy, but he said that it took all the strength he had to wrestle away from the grip of the ghost. Dad turned to me an apologized for not believing me. We heard that the first renter in the house was a minister. I was elated thinking that a minister might pray the ghosts out of the house. The minister moved out almost as soon as he had moved in. After a series of short term renters the house was replaced by an apartment building. Neighbors told my parents that the house had been moved. I don't know if the house was moved, and if it was moved I wondered if the ghosts go with the house or haunt the apartment building built on the site. I know I would never want to go back and find out for myself.",15 Years of Terror,United States,Haunted places,2006-10-30,https://www.yourghoststories.com/real-ghost-story.php?story=65
2,Haunted Places,"This all happened in the last four Days. Bear with me as while the incidents were short, they were rather malicious. I moved from Kansas City, Kansas to Riverside, MO after an insurance problem forced us to move to another state, so my son Ricky would be covered for some medication he needed. In Kansas it would cost us $4500 a month. In MO $2 a month due to different medications being covered in MO that are not in Kansas. So I moved and took both of my sons with me. My husband stayed in our home with both of our daughters. We frequently sleep at both homes so we can be together. The $800 in rent and bills is a heck of a lot cheaper than $4500 a month for his medicine. I moved into my apartment on the 9th of September 2013. These incidents happened on the 15th, 16th, 17th and 18th of September. The day I moved in was uneventful except for the fruit basket. I like my basket of fruit to sit dead center in the middle of the table. I moved it back into the dead center of the table at least 6 times that day. Then we finally pushed the table up against the wall to prevent the table from being jostled and slid the basket all the way to the back. When I came back inside the empty apartment, the fruit basket was slid dead center again. I checked the apartment but it was empty. The boys were both sitting on the front steps having a drink and rest. Weird but oh well. The first week goes well. It's a crisis week trying to make sure everyone is where they need to be. On Friday and Saturday my husband and girls stayed over and come Sunday evening we were alone with just me and the boys home. It was about 10:30 at night and I was sitting on the sofa on my laptop when I suddenly hear the most happiest of laughs. A man was in the room laughing out loud. He laughed for about 10 seconds, as if it had been startled out of him. I was chatting with friends online and told them I thought someone was on my balcony. So I went out and checked, but no one was there, nor were any of the other neighbors out on theirs. I reported back to my friends that it was all clear and headed to bed. I set my alarm on my phone and placed it on the occasional chair to charge then climbed in bed and went to sleep. I'm a ""sleep like a rock"" type of person and very difficult to rouse. So I was very confused to suddenly find myself awake at 3am. I sat for a moment to listen if the coffee pot had turned on and then went and checked my phone. As I'm standing by the door, next to the chair staring at the clock on my phone, I see a streak from the corner of my eye in the direction of the boys' room. I hear a loud crash and piercing scream come from my sons' room. Then I hear that happy, jovial laugh again, right in my ear. That ""I'm just a happy type of guy"" male laugh. I run for my sons' room, and find my oldest son Marcus, who is 13, sitting in bed covered in broken toy airplanes. The airplanes which at 11:00pm had been lined up ready for take off from the aircraft's carrier toy on the floor. And indeed they had taken off. Right into my son, the wall over his bed and the window. They had broken on impact with the wall and then fallen on my son's head. I don't mention the laughing to my sons, because I need them to go back to sleep. But I sat in the hallway all night watching over them. The next day I tell my husband the apartment is haunted and get a good laugh from him. We are scared and spend the whole day at the house, only returning home at 9:00pm to sleep. This time I was woken by the screams at 5:00am. Marcus is on his floor the blankets nearly cocooned around him, crying, saying ""Leave me alone, please leave me alone."" Ricky is sitting up in bed, confused and still half asleep, saying, ""What?"" over and over again. I get Ricky to lay down and take Marcus to my bedroom, get him calmed down in my bedroom and get the details from him. Marcus says he suddenly woke up as he hit the floor, the blanket wrapped tightly around him and a male voice in his ear telling him, ""Wake up, I'm going to get you"" and then just laughing. Laughing like he was so happy, or had a great surprise thrown for him. I tell him to sleep with me and get him settled back to sleep. This spirit has twice targeted my 13 year old son. First with violence, and then by pulling my son from the bed while threatening him. I'm not sure that he wrapped the blanket around my son. But in 13 years, I have never seen my son fully wrapped in a blanket like that. Marcus is the type of kid who lays down, throws the blanket out perfectly around him, flips on his stomach, goes to sleep and does not move a muscle all night. So how did the blanket get sideways and wrapped around his arms? You will have to come to your own conclusion on that one. Right now, I'm regretting having moved here. Scared to tell my landlord the place is haunted. And wondering what I can do to catch this spirit in the act to prove I'm not crazy. Besides the three actual ""scare you shipless"" incidents, we are having closets and cabinets open while we are gone, computers acting weird and crazy. One which had worked perfectly, suddenly started messing up. The disc drive kept opening and closing. We bought a new one. It was working fine sitting on the kitchen table. When I came out the next morning, 30 programs had been opened up. We have no animals, the boys were sound asleep. Oh and I missing about 30 Lighters. Stupid I know, but I usually drop them through the couch so I buy a lot and at the end of the week, fish them out from under. But they are not under the couch, in it or anywhere to be found. My entire supply of lighters went poof, one by one. So this is Day 8 in the new apartment. We have a Laughing Lighter Thief who doesn't like my 13 year old son. What is the rest of the month going to bring?",13 Year Old Attacked By Laughing Spirit,United States,Haunted places,2013-09-18,https://www.yourghoststories.com/real-ghost-story.php?story=18550
3,Haunted Places,"I am now 13 years old. My parents decided to get divorced in 2010, and from then I have lived in 3 rental homes and I am now in a purchased home settled for a long time. I am an only child and 15 Church Close in Mountnessing, UK, which was the family home for us three. Anyway ever since I can remember that house was heavy with paranormal activity. It started from when I can remember around 8 or 9, so just before the divorce. It started with light things like when I was naughty and sitting on my staircase sitting sideways because I always felt like I was being watched. It was so powerful I could feel it as soon as I sat down. I would always sit there and cry and say sorry just to get away. My dad came home one morning. As he works nights, I was at my nan's and mum had left for work. He came to the kitchen to see the kettle turned on and boiling and the toaster was turned on but with nothing in it. This was around 9 am, my mum would have left at 8:30ish so the kettle wouldn't have been boiling since then. But then it really got scary. One night I remember so clearly a black figure walking down the long sip of my room towards the foot of my bed. Then it felt like 'it' jumped onto my legs and the bed was dipped, like it fell onto my bed. I was so scared to call my mum, I would go to scream but it was almost like I couldn't. Ever since this event still to this day I keep the light on at night. And since about a year ago, even though in a different house, I would start of sleeping in my mum's bed until she would take me to my bed. Back to the other house. Since that event I would lay in my mum's bed first, and I would wake up at 10:06 every night, as seen on the green illuminated alarm clock, and the bed would violently shake. It was not side to side though it was up and down it was WEIRD. Now the day before we were meant to move out due to the divorce my mum was sitting in the loft, very secure, to get the last boxes out. She said that something grabbed her leg and literally pulled her out the loft hatch, giving her a sprained wrist. She knew it was time to leave then. She left the boxes got, in the car and told the removal man to meet us there. I will post more stories about all my other houses since this. My mum's hairdresser is a very spiritual person and she did this thing with her hands over my head and she said that I was a portal or something that allows spirits to pass. I thought this was a load of rubbish and I didn't believe her at all until one night I was laying in bed and would find faces I've never seen before slide past my closed eyes. More on this soon.",15 Church Close,United Kingdom,Haunted places,2014-12-22,https://www.yourghoststories.com/real-ghost-story.php?story=20992
4,Haunted Places,"One night me and my sister was asleep. Our dog was at the end of the bed. She had woken me up and told me that the bed moved. I was half asleep and told her that it was just the dog. Or that it was her having a dream that seemed real. She claimed that it really did moved and that she was scared. So I got up and looked around. But nothing was there. So I stayed awake with her to prove that it was just the dog moving. About five minutes of waiting the bed just moves on its own. We both ran out. Never again did we sleep in that room. In the same house, every morning when I wake up I'll go in the kitchen and notice every cabinet, drawers, every door was open in the kitchen. No one was home except for me. Another time (living with the same people but different house) they had left to visit family hours away. I stayed home. I heard aloud bang, so I thought they were home. But they weren't. When I looked, the bathroom door was closed when it was originally open. I'm starting to think they have a ghost following them because multiple things happened in that house. Between hearing little kids laughing or taking pictures of a glare and it erased itself off the camera. Never told the story until now. Still makes me wonder. When me and my sisters was younger we use to play with the Ouija board. One day we did it and our apartment door was opening and closing. But the chain was on so it didn't open up all the way. My sister went to go look outside but no wind or anything was there. So we did it again. And the door kept doing it. Eventually we threw the board under the couch and never touched it again.",14 And Something Wasnt Right,United States,Haunted places,2015-05-05,https://www.yourghoststories.com/real-ghost-story.php?story=21742
5,Haunted Places,"My friend lived in the oldest house in the town we lived in. Her house was the first house to ever be built in the town. So we always made jokes about it being haunted as hell and how we could hear things. It never really scared us but we didn't dare taunt them either. She would have some weird dreams where she couldn't fully wake up, but there was a dark figure leaning over her. One night when I was over (I slept on the floor) she asked me the next morning if I had sat up for a little while. I of course told her no, that I had actually slept pretty well that night. Her face went pale telling me she woke up in the middle of the night and saw someone sitting up right, right where I was lying and sleeping. Mostly at night stuff happened, when you're barely awake, but one day it was the middle of the day and we both saw it. She and I had been hanging out and I was bringing her home. It was about 2 or 3 in the afternoon, so it was daylight out still. I pulled into her driveway and she said she wanted to wait to make sure someone was home so she wasn't locked out. So she texted her mom and her dad and we jammed out in my car while we waited for a response. Then we saw her mom look out the window at us, probably heard my music, and we both waved to her; ""Oh yup there she is!"" my friend said as she gathered her stuff and began getting out of my car. We said our goodbyes and I made my way home. Once I got home I noticed I had a text from that same friend and it read; ""So the door was unlocked and I came inside and nobody is here. I looked EVERYWHERE in this house. You saw my mom look out the window at us too, didn't you?"" I did... I had some issues staying over night there for a little while after that. Not to mention a year or so later, her mom called us freaking out wondering where we were one day, because apparently she yelled to us upstairs asking us if we were hungry for dinner and if she should make something and we answered. Then when she went up the stairs to talk to us, no one was there.","""oh Yup There She Is!""",United States,Haunted places,2017-10-30,https://www.yourghoststories.com/real-ghost-story.php?story=25088
6,Haunted Places,"This story I'm about to tell actually happened to my mom and my two older brothers. I don't know much about the details as I wasn't born yet at the time. It happened in the 70's. My oldest brother was 3 or 4 maybe and the second oldest was still a baby. Dad was not around much as he was in the army back then. So its up to mom to take care of the whole family by herself. Sometimes they would go back to our hometown village to meet with my grandparents when they were still alive. They lived in a village located deep in the depth of Melaka. My grandparents house was situated deep in the woods. There were neighbours but was for few kilometers apart. And there were many huge tall trees in between making it hard to see other neighbours houses. The house was a wood shack like the ones you see besides a lake deep in the wood or mountains. My grandparents house was located near the end of the woods. In front of it you could see a wide green padi field and the legendary Ledang mountain behind it. It was majestic, breathtaking and a bit scary especially at night. You could see nothing. Total pitch black. One day my mom and brothers took a one hour bus ride from a nearby small town, got down at the local small police station, walk passed a grave site, half hour walk into the woods and finally arrived. Now, the story took place after few days after mom stays. One night, around midnight after she put down my brothers to sleep. She can feel that there something in the air like some bad thing's going to happen. My whole family got this thing about a sixth sense kind of thing. She could not get to sleep because of the bad feeling. That night was kind of windy. She can hear the cold breeze running through the trees. Hearing the wind blowing through like a howl and small branches fall on the rooftops makes her more worried. Around 2 a.m, suddenly it all stops. It was very quiet outside for a few moments. Suddenly my mom hears a heavy breathing sound like from a beast come from outside of the house. She could hear it coming closer to the house through the wood wall. The thing is getting closer. Suddenly it's starting to growls and roars. Its almost the same as roar of a tiger. Now that's a bit strange cause there has never been a tiger seen in this part of region. It has been populated by human for generations. My brothers got woken up by the roar. They were scared to death and my oldest brother quickly grab hold of mom for safety. The growl and roaring continues for a long time. After that it stops. After a few moment, the growling and roaring happened again, this time it starts to clawing and hitting the wall of the house. It continues for a much longer time. Now the strange and scary thing is the clawing, scratching and hitting sound was coming from various sides of the house at the same time. One time the sound came from the lower level of the wall, and other were like on the upper level and on the roof. It looks like the clawing was done by a beast that was as big as the house. My mom got more scared, she start to hold my brothers tight and cover themselves inside the blanket. The roaring and clawing got more and more loud as if it was angry with something or someone in the house. My grandparents woke up and rushed to my moms room. My grandpa tell grandma to look after mom and he went by himself and said that he will take care of it. My mom didn't know what my grandad did, not then, or now. It remains a mystery for her. The roars and clawing got more vicious. After a while the whole thing got calm down. The growls were fading away like the beast has walking away from the house. My granddad came back and said its all okay now, nothing to worry about. After that, everyone finally calmed down. My brothers went to sleep and my mom finally got to sleep as so tired from the ordeal. The next day everyone could not speak a thing that happened that night. They went outside to look, but there were no signs of clawing or anything that can proves something hit the house. It was very scary as my mom felt the house shake when the thing hits the house from outside. Grandad told mom to just forget what had happened and never worry again. As he was right, that was the only time it happened. Never again. After that, Mom heard stories from other villagers, that there used to be an odd man that lived at the end of the woods. Some had said that he used to practiced black art magic that involved some sort of tiger spirit. They said he can control the beast to use as a protection. One day he was found dead and the villagers were scared, if the story about his tiger spirit buddy were true and it got loose and will terrorize the the whole village. Luckily none of that happened. What happened that night might be a bit true to that story I guess. Mom also heard that once there were some hunters found a tiger cub in the woods, one of the hunters took it back with him. Old people used to say that if you did that kind of thing, the mommy tiger will come looking for its cub and it will hunt you down and not rest until she got back her cub. Maybe there is a true in that story too. Sorry for the long one. This is my first. More will be coming next. Happy reading and thanks.","""mom's Fright Night.""",Malaysia,Haunted places,2017-11-22,https://www.yourghoststories.com/real-ghost-story.php?story=25169
7,Haunted Places,"Today I wish to share with you a story which was narrated by my grandma many years ago. They used to live in their native place in Pen, Panvel, Maharashtra, India during those days around 1950s. My grandma was just a child then. In those times, in India, there were huge joint families and it was common for one's parents, grandparents, cousins, uncles, aunts, etc to stay together in an ancestral home (It's called a WADA in Marathi). Possibly may have been constructed in the early 1900s. There was a small storeroom which was also 1+1 (ground + first floor) in the backyard. There was only a ladder though that could be used to climb to the first floor from inside the storeroom which usually remained locked with a rectangular flap in the ceiling of the ground floor. The bathrooms were also located in the backyard such that they covered 2 sides of the storeroom and the bathroom windows could give you a view of the storeroom. Now, many of the relatives were used to certain strange things happening around the storeroom like breathing or growling sounds, lights flickering in the bathrooms or the storeroom. Knocks being heard from the storehouse's first floor. The village people were robust those days and hardly had a care in their lives. But, that's when the intensity of the strange occurences increased and the knocks from the storeroom's ceiling turned into actual sounds of an unknown voice asking, ""MAY I STEP OUT?"" ""MAY I STEP OUT?"" Now, this freaked the hell out of everyone, so they invited an exorcist (BHAGAT) to the place and he almost immediately told them that there was something in the storeroom that was trapped there and wanted to be let out, but he couldn't figure out what it could be. So, he organized a small ritual in a couple of days which happened to be a NO MOON DAY (AMAVASYA). He had asked my great great grandfather to arrange for some things like flowers, incense, coconuts, rice, turmeric, Vermilion and A Live chicken etc. All was arranged. The BHAGAT chanted some mantras and carefully arranged all these things along a certain path starting from just under the ladder in the storeroom leading outside the gate of the actual home. So, you could see all these ritualistic things being scattered along the ground coconuts, rice, etc doused with red and yellow powder and finally a chicken with its leg tied with a string right at the main gate. After that, he ordered all of us to go inside the main house. My grandma and others went to the 2nd floor terrace to see what would happen. The BHAGAT chanted some more mantras after that and when he finally heard the call ""MAY I STEP OUT?"" ""MAY I STEP OUT?"" The BHAGAT replied, ""YES, COME OUT!"". As soon as he did, the 1st floors ceiling door snapped open and it was as if a cyclone had been liberated from that place, it followed the path of all the things that were laid on the ground, tossing everything out, coconuts being broken flying in the air, and finally the poor chicken which died as soon as the cyclone kind of thing passed through her and moved out of the main gate. As soon as it did, the BHAGAT, closed the gate and tied a lemon and chillies to the gate and called the elders outside. He said, it was probably just a spirit which was trapped to that ground and needed to be liberated. And that's how the entire story concluded and never again did anyone hear the same ""MAY I STEP OUT?"" again. Anyway, hope you liked the story here. There are a few things that she told me after narrating the story which are very interesting about this. But I would share them in my comments after. Peace. Ajay K.","""may I Step Out?""",India,Haunted places,2017-12-11,https://www.yourghoststories.com/real-ghost-story.php?story=25220
8,Haunted Places,"My small contribution, which has led to some continued interest in the paranormal. We moved house when I was 10. Bigger house, two story, built in the late 40's IIRC. Early on I,at least, would hear my name called and it wasn't my mom. (Went and asked.) My younger brother complained of seeing faces on the wall at night. The biggie occurred one early evening as I went up stairs to the second floor, the stair way left the main floor and went up to a landing, turned right and went up another 7-8 steps. At the top there was a hall with entrances to the bath, and my room on the left, entrances to my folks room and younger sister's room on the right. I was about half way up from the landing to 2nd floor level when something white and irregularly shaped came out of my folks room. It might have been an arm given the height but had no real shape aside from an irregular length. There was no one else from the family up stairs. I don't think my feet touched the steps on the way back down, I went through the house to the TV room in the back of the first floor. I stopped next to my mom and she said, ""you are just white."" I don't remember if she said any more and I blurted out that an arm had come out of their (mom & dad's) bedroom. To which my dad said,""Was it a man's or woman's arm?"" I replied, ""It was white!"" I had never been so scared, never saw it again and when ever I went up stairs in the evening I had to screw up my courage and make sure the light in the up stairs hall was on. If the story ended here it probably wouldn't mean much. Many times we, as a family, would leave the house in the evening and my dad would see and complain that the attic light was left on by somebody. The attic stairs were accessed through a door in their bedroom BTW. One evening, as we were all called down stairs to get in the car and go somewhere, I made a point to be the last down. I turned off the attic light, which had a wall mounted toggle switch that wasn't the least bit worn out, having a firm click. I joined the family and as we pulled in front of the house in the car, my dad complained that the light in the attic was on. It was, I looked for myself and reported to my dad that I had turned the light off before we left. The subject of ghosts came up, several times, but being a religious family, there was no further discussion. One of the times I was visiting town long after my folks had moved again I went by that house at night, the light was on.;)",10 Years Old And New House,United States,Haunted places,2018-02-20,https://www.yourghoststories.com/real-ghost-story.php?story=25437
9,Haunted Places,"In the late summer of 2010, I was working from home as an artist in Greensboro, NC. My daughter had just started back to school and my nearly 3 year old son was home with me full time. It was a hot and muggy late morning and I left my son in his room playing with his toy cars while I went to the carport to prepare my paints and tools for a project. Within 15 minutes of my preparations, my son had opened the screen door, leaning on it, with an annoyed look on his face. I asked my son if he was ok or maybe ready for some lunch when he said, exasperated ""No, mom. I'm not hungry, but those kids are back."" Unsure to whom he was referring as we had few young children in our neighborhood and the ones we did have around were in school. I distractedly asked him what kids, still arranging my tools of my trade when he said ""You know, the three kids from the fire. The ones in my closet. They want to play with my cars but I want to play alone."" My children walked and talked very early, so I was accustomed to the luxury of having full, clear conversations with my 2 and a half year old. Apparently, I did not react to his complaint quickly enough, so he stepped outside and spoke to me as if I was the child. My toddler walked over to me, took my hand to lead me inside to his bedroom and said to me in a patient voice ""Come, on mom. Come with me and I'll show you."" I was smirking at his heavy sigh, limited patience, and his insistence that I look. We went to his room, filled with sunshine and with his toy cars littered about in mid-play. He released my hand, threw open the accordion closet doors, throwing his hands before him gesturing toward these alleged children. ""See?!"" He proceeded to look at me, as if to ask ""now do you believe me?"". Looking at the closet and seeing no one in there, I played along. ""Oh, yeah I remember them."" I went on to announce to the toys, clothes, and other items in the closet: ""House rules are that anyone who is kind may stay and play nice. If you can't be nice you have to go."" My son smirked and shook his head. ""Mom,the kids that died in the fire don't want to share."" A little spooked, I rallied my thoughts only to feel as if I was staring off into space... Like I'd been daydreaming for 45 minutes in a boring high school class. Suddenly, a story my mother told me about years ago appeared in my mind's eye. My mother's best friend perished in a fire along with 3 of her 4 young children. It was in New York City in the late 50's or early 60's. I could see, in my head, these 3 huddled young children barefooted and cowering on the floor of my son's bedroom closet; 2 girls and one boy wearing night gowns and pajamas. They looked dated, as if 1950s or early 60's. I could FEEL their fear, panic, confusion, and even their resentment of not being rescued. A sadness and understanding washed over me, like I absorbed what these 3 children were expressing: we were so afraid from the heat of the fire and the smoke. We hid together in our closet and huddled close to protect ourselves. We cannot find our way to our mother and we just want to go home... This ""daydream"" of thoughts and images was suddenly interrupted by my son who said ""Mom, they need to go home now. Make them go home, ok?""... So, I said with tears in my eyes from either sympathizing or actually ""knowing"" their story, I said out loud: ""I am so sorry for how scared you were. I am so sorry that no one came for you or looked for you in the closet before the fire and smoke did. It's ok to be afraid but it's time to go to your mom now. If you want to stay and play nicely for a bit that's fine but then you have to go."" My son looked satisfied with that speech and as I reached for my son's hand to walk him out of his room toward to kitchen to help me make some lunch he said ""No thanks. I want to play too and eat later."" I nodded and walked out a bit still shocked from what just occurred. I returned ten minutes later as lunch was ready. I asked him if the kids were playing fairly now. He looked up and ""Huh? Oh them?"" He waved his hand and went back to playing cars, ""They left right after you did."" The room that my son had used to be my daughter's. She never liked the room, especially the closet and developed night terrors when we moved into the house in 2002. Something about that closet felt like it let awful things in and out of it, to the point where my son refused to sleep there up until we finally moved from it in 2015. Moods shifted for the worse, foot steps, smoky figures, and more came and went. Getting away from that house and that neighborhood proved beneficial as we've come to find out that there were suicides, sudden deaths, shootings, and other unfortunate tragedies that occurred to families that lived in the houses that stood directly next to and across from it... My marriage to my children's father was solid until it deteriorated in significant and frightening ways from 2003 on. The family who owned it before us also had a contentious divorce and experienced behavioral issues with their son and daughter. To this day, I prefer not to go to the city of Greensboro if I can avoid it due to our experiences from 2002 - 2015.","""the Kids In My Closet Are Back""",United States,Haunted places,2018-03-04,https://www.yourghoststories.com/real-ghost-story.php?story=25481
10,Haunted Places,"Now this took place some time ago so I wasn't present to witness it, more likely that I'm glad I wasn't there to witness it. So on Saturday night my aunty and I were at her house, having a few drinks and telling stories etc. She had mentioned a story and it involved the very small rural village of Adavoyle, my Grandads birthplace as well as family home. For whatever reason my grandparents house had to be left vacant for 2 weeks so they had to stay in mobile homes which were basically static trailers, they didn't want to so the only option was to stay in Adavoyle to which the mood quickly changed and the mobile homes didn't seem too bad. I had asked why and this is where the story truly begins. My family has been dropping like flies, now you may say ""That's a morbid statement."" But it's true, not a year goes by where a distant relation kicks the bucket but that's a different story. In my Grandad's Birth home a family member died and he was laid out upon the Kitchen table as that's what they did back then, blood was discarded into the pig pen and ever since that the house was known to be unlucky. My Grandad and his two brothers were left the house in a will, it contained a small farm yard out in the backyard which then stretched out into a massive field with a single fairy tree in the middle. Some time after the funeral they were in the field when my Grandad spotted someone... ""Whos that by the tree?"" He said, the other two looked on and couldn't see anyone. But no sooner had he said that within 5 seconds this... Thing was sprinting towards them. A massive field that not even a fully grown healthy man could descend as fast as it did. All three men turned and bolted for the gate, desperate to get out to the point where one was willing to sacrifice the other. When they were out of the field they turned to look at the creature chasing them and it had vanished. They gave it the name ""The Rubber Man"" as it practically bounced down the field towards them. TO THIS DAY my Grandad refuses to talk about it much, he will repeat the question, nervously laugh and brush it off only to talk about something else, but I'm not finished with this story just yet. One of the Brothers (We'll call him Dave) would stay there now and again, but only if there was someone else there as banging could be heard on the walls and doors slam to the point where he was being questioned by angry neighbours. He once even cried at the thought of sleeping alone in the house, a grown, fit and healthy man. Work needed to be done on the house as parts were starting to crack. So instead of getting professionals my Grandad decided to do it for free. He had to knock down a wall and when he did he was presented with a door. As soon as Dave heard of this his only response was ""Don't open the door."" When asked why he again responded ""I said don't open the f###ing door."" And so it wasn't opened, simply replastered up. I must be insane writing this at 2:20 in the morning when I start college tomorrow... Anyway, hope you enjoyed the family story.",'the Rubber Man',Ireland,Haunted places,2018-09-02,https://www.yourghoststories.com/real-ghost-story.php?story=26018
